Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
ENSG00000272374					ENSG00000272374
HNRNPCP4					HNRNPCP4
IMP3P2					IMP3P2
KRT8P34					KRT8P34
PAIP1P1					PAIP1P1
RN7SL688P					RN7SL688P
RNU4ATAC4P					RNU4ATAC4P
RNU6-145P					RNU6-145P
RNU6-387P					RNU6-387P
RNU6-850P					RNU6-850P
RPL23AP12					RPL23AP12
RPS10P15					RPS10P15
ENSG00000201207					ENSG00000201207
ENSG00000201555					ENSG00000201555
ENSG00000204422					ENSG00000204422
ENSG00000245869					ENSG00000245869
ENSG00000246477					ENSG00000246477
ENSG00000256658					ENSG00000256658
ENSG00000269578					ENSG00000269578
ENSG00000273270					ENSG00000273270
RNU6-979P					RNU6-979P
ENSG00000271267					ENSG00000271267
ENSG00000271581					ENSG00000271581
ENSG00000289744					ENSG00000289744
H3P5					H3P5
IFITM3P5					IFITM3P5
KRT8P37					KRT8P37
LOC127903862					LOC127903862
RPL6P8					RPL6P8
ENSG00000229413					ENSG00000229413
ENSG00000230715					ENSG00000230715
ENSG00000241493					ENSG00000241493
ENSG00000243302					ENSG00000243302
ENSG00000243679					ENSG00000243679
ENSG00000284957					ENSG00000284957
WDR53P1					WDR53P1
CM021575-017					CM021575-017
ENSG00000242162					ENSG00000242162
ENSG00000250321					ENSG00000250321
ENSG00000288064					ENSG00000288064
HSALNG0030208					HSALNG0030208
HSALNG0143344					HSALNG0143344
HSALNG0149400					HSALNG0149400
LOC124900866					LOC124900866
LOC124909485					LOC124909485
NONHSAG044958.2					NONHSAG044958.2
RF00017-5279					RF00017-5279
lnc-APOLD1-1					lnc-APOLD1-1
lnc-GPR19-4					lnc-GPR19-4
lnc-IRF1-5					lnc-IRF1-5
lnc-IRF1-6					lnc-IRF1-6
lnc-PRDM1-3					lnc-PRDM1-3
lnc-RAD50-4					lnc-RAD50-4
lnc-TNFAIP3-1					lnc-TNFAIP3-1
CM034956-221					CM034956-221
ENSG00000270491					ENSG00000270491
HSALNG0013961					HSALNG0013961
HSALNG0014115					HSALNG0014115
HSALNG0032205					HSALNG0032205
HSALNG0045890					HSALNG0045890
HSALNG0049245-002					HSALNG0049245-002
HSALNG0049404-001					HSALNG0049404-001
HSALNG0049408-001					HSALNG0049408-001
HSALNG0049409					HSALNG0049409
HSALNG0049410					HSALNG0049410
HSALNG0063445					HSALNG0063445
HSALNG0084926					HSALNG0084926
HSALNG0087578					HSALNG0087578
HSALNG0089400					HSALNG0089400
HSALNG0107216					HSALNG0107216
HSALNG0117178					HSALNG0117178
HSALNG0133099					HSALNG0133099
HSALNG0144570					HSALNG0144570
HSALNG0149895					HSALNG0149895
LOC105369663					LOC105369663
LOC105371081					LOC105371081
LOC105377106					LOC105377106
MF281462					MF281462
MK280144-020					MK280144-020
MN297643					MN297643
MN309541					MN309541
NONHSAG001753.2					NONHSAG001753.2
NONHSAG003874.2					NONHSAG003874.2
NONHSAG045793.2					NONHSAG045793.2
RF00017-5054					RF00017-5054
RF00017-5465					RF00017-5465
RF00017-5468					RF00017-5468
RF00017-5511					RF00017-5511
RF00017-5751					RF00017-5751
RF00017-6912					RF00017-6912
RF00026-969					RF00026-969
hsa-miR-5096-095					hsa-miR-5096-095
lnc-BRAP-1					lnc-BRAP-1
lnc-BRD2-2					lnc-BRD2-2
lnc-BRD2-3					lnc-BRD2-3
lnc-BTNL2-2					lnc-BTNL2-2
lnc-DTNBP1-15					lnc-DTNBP1-15
lnc-HLA-DOA-1					lnc-HLA-DOA-1
lnc-HLA-DQA1-9					lnc-HLA-DQA1-9
lnc-HLA-DQB1-2					lnc-HLA-DQB1-2
lnc-HLA-DRB1-7					lnc-HLA-DRB1-7
lnc-HLA-DRB5-1-002					lnc-HLA-DRB5-1-002
lnc-ICAM3-1					lnc-ICAM3-1
lnc-IL5-1-001					lnc-IL5-1-001
lnc-IL5-1-002					lnc-IL5-1-002
lnc-IRF5-2					lnc-IRF5-2
lnc-LTBP1-1					lnc-LTBP1-1
lnc-PERP-11					lnc-PERP-11
lnc-PTTG1-5					lnc-PTTG1-5
lnc-RPP14-3					lnc-RPP14-3
lnc-SLC35G5-2					lnc-SLC35G5-2
lnc-TNFAIP3-12					lnc-TNFAIP3-12
lnc-YDJC-1					lnc-YDJC-1
lnc-ZPBP2-6					lnc-ZPBP2-6
piR-30730					piR-30730
piR-34530					piR-34530
piR-43105-423					piR-43105-423
piR-60314					piR-60314
piR-61101-324					piR-61101-324
CM034958-060					CM034958-060
HSALNG0021147					HSALNG0021147
HSALNG0026408					HSALNG0026408
HSALNG0026409					HSALNG0026409
HSALNG0049239					HSALNG0049239
HSALNG0049423					HSALNG0049423
HSALNG0049424					HSALNG0049424
HSALNG0049436					HSALNG0049436
HSALNG0075913					HSALNG0075913
HSALNG0087584					HSALNG0087584
HSALNG0091478					HSALNG0091478
LOC124900645					LOC124900645
MN298231					MN298231
MN308836					MN308836
lnc-ARPC5-2					lnc-ARPC5-2
lnc-ICAM3-2					lnc-ICAM3-2
lnc-TSPAN33-4					lnc-TSPAN33-4
piR-38580-278					piR-38580-278
piR-41306-234					piR-41306-234
piR-49399-010					piR-49399-010
piR-49732-033					piR-49732-033
piR-50437-624					piR-50437-624
piR-58297-114					piR-58297-114
HSALNG0030594					HSALNG0030594
HSALNG0098623-354					HSALNG0098623-354
RF00994-258					RF00994-258
lnc-EHF-5					lnc-EHF-5
SNORD52					SNORD52
C1orf146					C1orf146
DCST1-AS1					DCST1-AS1
MIR4443					MIR4443
CCDC153					CCDC153
TSGA10IP					TSGA10IP
TMEM256-PLSCR3					TMEM256-PLSCR3
MIR572					MIR572
CEP170B					CEP170B
POM121B					POM121B
ENTPD3-AS1					ENTPD3-AS1
MIR1537					MIR1537
HERC2P4					HERC2P4
CHML					CHML
FAM9A					FAM9A
ZNF121					ZNF121
LINC00205					LINC00205
LINC00877					LINC00877
TRK-TTT3-5					TRK-TTT3-5
SLC8A3					SLC8A3
IGFL3					IGFL3
MIR4442					MIR4442
ANKRD30A					ANKRD30A
FAM174A					FAM174A
MIER2					MIER2
SPATA25					SPATA25
ETV3L					ETV3L
SMIM29					SMIM29
MIR5571					MIR5571
DENND6A					DENND6A
ENSG00000228561					ENSG00000228561
ADAM30					ADAM30
C4orf36					C4orf36
RPS27AP5					RPS27AP5
SCGB2B2					SCGB2B2
MIR875					MIR875
SUCNR1					SUCNR1
S1PR4					S1PR4
TMEM265					TMEM265
ZKSCAN8P1					ZKSCAN8P1
LINC01354					LINC01354
LINC00449					LINC00449
CYCSP52					CYCSP52
IFITM4P					IFITM4P
LOC285626					LOC285626
MIR4439					MIR4439
MIR548AN					MIR548AN
MIR4462					MIR4462
MIR548AG1					MIR548AG1
RPL23AP1					RPL23AP1
ENSG00000272316					ENSG00000272316
RNA5SP443					RNA5SP443
LINC00513					LINC00513
GPR158					GPR158
CPNE8					CPNE8
LINC01515					LINC01515
TMEM86B					TMEM86B
ANKRD65					ANKRD65
METTL25B					METTL25B
CALHM4					CALHM4
AHI1-DT					AHI1-DT
BOLA3-DT					BOLA3-DT
GUSBP4					GUSBP4
LURAP1L-AS1					LURAP1L-AS1
ZNF204P					ZNF204P
LINC01355					LINC01355
LOC730183					LOC730183
STEAP1B-AS1					STEAP1B-AS1
IKBKB-DT					IKBKB-DT
LINC01770					LINC01770
LINC02265					LINC02265
LINC02520					LINC02520
LRRC37A4P					LRRC37A4P
MRGPRF-AS1					MRGPRF-AS1
TPRG1-AS1					TPRG1-AS1
ZNRD2-DT					ZNRD2-DT
GLUD1P3					GLUD1P3
GTF2I-AS1					GTF2I-AS1
PKIA-AS1					PKIA-AS1
LINC01377					LINC01377
LOC101929538					LOC101929538
LINC02271					LINC02271
MIR6769B					MIR6769B
LOC105377683					LOC105377683
ENSG00000236525					ENSG00000236525
MIR6804					MIR6804
RPL36AP7					RPL36AP7
NONHSAG046618.2					NONHSAG046618.2
MIR943					MIR943
C6orf136					C6orf136
IATPR					IATPR
CLRN1-AS1					CLRN1-AS1
OPN3					OPN3
MYAS1					MYAS1
MIR4458					MIR4458
L3MBTL4					L3MBTL4
MIR5572					MIR5572
MIR4524B					MIR4524B
RAB3C					RAB3C
ENTHD1					ENTHD1
SLC35G5					SLC35G5
ZSCAN23					ZSCAN23
CEACAM18					CEACAM18
STMND1					STMND1
LINC00114					LINC00114
LINC00315					LINC00315
NPIPB2					NPIPB2
OR2B8P					OR2B8P
CLEC20A					CLEC20A
MIR210HG					MIR210HG
NBDY					NBDY
FAM99B					FAM99B
LINC00316					LINC00316
LINC01537					LINC01537
SLC12A5-AS1					SLC12A5-AS1
SMG7-AS1					SMG7-AS1
TEX51					TEX51
ACOXL-AS1					ACOXL-AS1
BSN-DT					BSN-DT
CTDP1-DT					CTDP1-DT
HCG24					HCG24
HISLA					HISLA
LINC00705					LINC00705
NAALADL2-AS2					NAALADL2-AS2
REL-DT					REL-DT
SNORD124					SNORD124
CD44-DT					CD44-DT
EFNA4-EFNA3					EFNA4-EFNA3
LINC00870					LINC00870
LINC01100					LINC01100
LINC01250					LINC01250
LINC01424					LINC01424
LINC01511					LINC01511
LINC02582					LINC02582
LINC02708					LINC02708
LINC02724					LINC02724
LINC02800					LINC02800
LINC03004					LINC03004
LMNTD2-AS1					LMNTD2-AS1
LOC100288123					LOC100288123
MIR1208					MIR1208
MIR548P					MIR548P
OVOL1-AS1					OVOL1-AS1
RERE-AS1					RERE-AS1
STX17-DT					STX17-DT
SUGT1P3					SUGT1P3
TAGAP-AS1					TAGAP-AS1
TRIM31-AS1					TRIM31-AS1
ZNF451-AS1					ZNF451-AS1
C10orf67-AS1					C10orf67-AS1
DDX39B-AS1					DDX39B-AS1
ILRUN-AS1					ILRUN-AS1
LINC02135					LINC02135
LOC100506274					LOC100506274
PGLS-DT					PGLS-DT
PINX1-DT					PINX1-DT
PPP1R3B-DT					PPP1R3B-DT
SNORA70H					SNORA70H
ACSL6-AS1					ACSL6-AS1
H2AC10P					H2AC10P
IL1R1-AS1					IL1R1-AS1
IL6ST-DT					IL6ST-DT
LINC00434					LINC00434
LINC00892					LINC00892
LINC01149					LINC01149
LINC01980					LINC01980
LINC02401					LINC02401
LINC02934					LINC02934
LINC03066					LINC03066
LOC100287329					LOC100287329
LOC101928438					LOC101928438
LOC101929457					LOC101929457
LOC344967					LOC344967
MHENCR					MHENCR
SNORA68B					SNORA68B
TMA7B					TMA7B
TOB2P1					TOB2P1
ZNF747-DT					ZNF747-DT
CCDC195					CCDC195
ENSG00000257894					ENSG00000257894
ETV7-AS1					ETV7-AS1
GPR166P					GPR166P
LDHAP2					LDHAP2
LINC01409					LINC01409
LINC01706					LINC01706
LINC01786					LINC01786
LINC01845					LINC01845
LINC01878					LINC01878
LINC02439					LINC02439
LINC02457					LINC02457
LINC02980					LINC02980
MRPL20-DT					MRPL20-DT
RPL13P2					RPL13P2
RSL1D1-DT					RSL1D1-DT
SF1-DT					SF1-DT
C4B-AS1					C4B-AS1
COL6A2-DT					COL6A2-DT
CYCSP34					CYCSP34
ENSG00000228655					ENSG00000228655
ENSG00000228863					ENSG00000228863
ENSG00000254461					ENSG00000254461
ENSG00000268584					ENSG00000268584
ENSG00000269954					ENSG00000269954
ENSG00000272505					ENSG00000272505
HLA-DPA3					HLA-DPA3
HSD3BP5					HSD3BP5
KLF2-DT					KLF2-DT
KRT8P26					KRT8P26
LINC01646					LINC01646
LINC01967					LINC01967
LOC101928663					LOC101928663
LOC102725019					LOC102725019
LOC105374780					LOC105374780
MAPK8IP1P1					MAPK8IP1P1
PPIAP6					PPIAP6
PPIAP9					PPIAP9
RN7SKP23					RN7SKP23
RPS15AP19					RPS15AP19
SHROOM3-AS1					SHROOM3-AS1
STK19B					STK19B
UBE2L4					UBE2L4
DUSP8P5					DUSP8P5
ENSG00000167807					ENSG00000167807
ENSG00000231467					ENSG00000231467
ENSG00000234261					ENSG00000234261
ENSG00000249007					ENSG00000249007
ENSG00000255310					ENSG00000255310
ENSG00000261560					ENSG00000261560
ENSG00000266980					ENSG00000266980
ENSG00000267159					ENSG00000267159
ENSG00000272140					ENSG00000272140
IFNA22P					IFNA22P
IUR1					IUR1
LOC124904478					LOC124904478
PPIAP40					PPIAP40
RNY4P10					RNY4P10
RPL15P4					RPL15P4
RPL35P2					RPL35P2
RPL7P51					RPL7P51
SUMO2P1					SUMO2P1
ZNF603P					ZNF603P
ALDH7A1P4					ALDH7A1P4
CEP57L1P1					CEP57L1P1
ENSG00000205414					ENSG00000205414
ENSG00000205653					ENSG00000205653
ENSG00000217702					ENSG00000217702
ENSG00000224413					ENSG00000224413
ENSG00000224844					ENSG00000224844
ENSG00000224950					ENSG00000224950
ENSG00000226990					ENSG00000226990
ENSG00000227217					ENSG00000227217
ENSG00000228005					ENSG00000228005
ENSG00000228137					ENSG00000228137
ENSG00000228302					ENSG00000228302
ENSG00000229990					ENSG00000229990
ENSG00000230325					ENSG00000230325
ENSG00000230381					ENSG00000230381
ENSG00000230684					ENSG00000230684
ENSG00000230955					ENSG00000230955
ENSG00000231585					ENSG00000231585
ENSG00000233538					ENSG00000233538
ENSG00000234117					ENSG00000234117
ENSG00000234389					ENSG00000234389
ENSG00000235237					ENSG00000235237
ENSG00000239791					ENSG00000239791
ENSG00000240731					ENSG00000240731
ENSG00000247121					ENSG00000247121
ENSG00000248559					ENSG00000248559
ENSG00000249604					ENSG00000249604
ENSG00000255038					ENSG00000255038
ENSG00000255320					ENSG00000255320
ENSG00000256568					ENSG00000256568
ENSG00000256875					ENSG00000256875
ENSG00000256969					ENSG00000256969
ENSG00000259420					ENSG00000259420
ENSG00000260084					ENSG00000260084
ENSG00000260179					ENSG00000260179
ENSG00000260271					ENSG00000260271
ENSG00000260482					ENSG00000260482
ENSG00000260911					ENSG00000260911
ENSG00000261839					ENSG00000261839
ENSG00000267273					ENSG00000267273
ENSG00000267283					ENSG00000267283
ENSG00000267317					ENSG00000267317
ENSG00000267342					ENSG00000267342
ENSG00000269044					ENSG00000269044
ENSG00000272599					ENSG00000272599
ENSG00000272791					ENSG00000272791
ENSG00000273058					ENSG00000273058
ENSG00000273217					ENSG00000273217
HIGD1AP18					HIGD1AP18
KRT18P39					KRT18P39
KRT18P4					KRT18P4
LAP3P2					LAP3P2
LINC01701					LINC01701
LOC124901197					LOC124901197
LOC124908056					LOC124908056
LOC392787					LOC392787
MTND5P1					MTND5P1
MTND6P5					MTND6P5
RN7SL236P					RN7SL236P
RNU1-88P					RNU1-88P
RNU2-19P					RNU2-19P
RNU2-22P					RNU2-22P
RNU4-36P					RNU4-36P
RNU6-147P					RNU6-147P
RNU6-344P					RNU6-344P
RNU6-793P					RNU6-793P
RNU6-968P					RNU6-968P
RPL13AP19					RPL13AP19
RPL18P9					RPL18P9
RPL32P23					RPL32P23
RPS12P3					RPS12P3
RPS21P1					RPS21P1
RPS7P11					RPS7P11
RPSAP64					RPSAP64
SIGLEC29P					SIGLEC29P
SLC25A38P1					SLC25A38P1
ALG1L11P					ALG1L11P
ALG1L13P					ALG1L13P
CCR12P					CCR12P
ENSG00000207127					ENSG00000207127
ENSG00000222529					ENSG00000222529
ENSG00000225258					ENSG00000225258
ENSG00000228355					ENSG00000228355
ENSG00000229382					ENSG00000229382
ENSG00000231681					ENSG00000231681
ENSG00000232500					ENSG00000232500
ENSG00000234789					ENSG00000234789
ENSG00000235499					ENSG00000235499
ENSG00000235620					ENSG00000235620
ENSG00000250057					ENSG00000250057
ENSG00000251864					ENSG00000251864
ENSG00000257004					ENSG00000257004
ENSG00000257202					ENSG00000257202
ENSG00000261526					ENSG00000261526
ENSG00000262020					ENSG00000262020
ENSG00000262372					ENSG00000262372
ENSG00000269667					ENSG00000269667
ENSG00000272182					ENSG00000272182
ENSG00000272360					ENSG00000272360
ENSG00000273245					ENSG00000273245
ENSG00000274695					ENSG00000274695
ENSG00000284779					ENSG00000284779
ENSG00000285163					ENSG00000285163
ENSG00000285446					ENSG00000285446
ENSG00000287815					ENSG00000287815
H2AC3P					H2AC3P
HCG4P5					HCG4P5
HNRNPA1P59					HNRNPA1P59
HSPA8P5					HSPA8P5
IFNWP5					IFNWP5
LINC02498					LINC02498
LINC02929					LINC02929
LOC100287467					LOC100287467
MIR7159					MIR7159
MIR8062					MIR8062
MTCO1P11					MTCO1P11
MTCO1P3					MTCO1P3
NAP1L4P1					NAP1L4P1
ODCP					ODCP
POLR2LP1					POLR2LP1
RN7SL192P					RN7SL192P
RNA5SP184					RNA5SP184
RNA5SP206					RNA5SP206
RNU1-150P					RNU1-150P
RNU6-1043P					RNU6-1043P
RNU6-1145P					RNU6-1145P
RNU6-1316P					RNU6-1316P
RNU6-299P					RNU6-299P
RNU6-320P					RNU6-320P
RNU6-471P					RNU6-471P
RNU6-481P					RNU6-481P
RPL10P4					RPL10P4
RPL31P35					RPL31P35
RPL35AP33					RPL35AP33
RPS10P13					RPS10P13
RPS23P10					RPS23P10
RPSAP39					RPSAP39
RSL24D1P4					RSL24D1P4
SNORD167					SNORD167
SRRM1P3					SRRM1P3
AIMP1P2					AIMP1P2
BTF3L4P3					BTF3L4P3
CD83P1					CD83P1
ENSG00000200135					ENSG00000200135
ENSG00000222701					ENSG00000222701
ENSG00000224218					ENSG00000224218
ENSG00000224515					ENSG00000224515
ENSG00000224647					ENSG00000224647
ENSG00000252761					ENSG00000252761
ENSG00000264853					ENSG00000264853
ENSG00000265987					ENSG00000265987
ENSG00000266728					ENSG00000266728
ENSG00000267303					ENSG00000267303
ENSG00000269984					ENSG00000269984
ENSG00000272774					ENSG00000272774
ENSG00000278595					ENSG00000278595
ENSG00000282034					ENSG00000282034
ENSG00000285448					ENSG00000285448
ENSG00000285565					ENSG00000285565
ENSG00000286276					ENSG00000286276
ENSG00000287725					ENSG00000287725
HLA-X					HLA-X
LOC124901411					LOC124901411
MCCD1P1					MCCD1P1
RN7SKP113					RN7SKP113
RN7SKP262					RN7SKP262
RN7SKP62					RN7SKP62
RN7SL117P					RN7SL117P
RN7SL123P					RN7SL123P
RN7SL306P					RN7SL306P
RNA5SP73					RNA5SP73
RNA5SP87					RNA5SP87
RNU4-25P					RNU4-25P
RNU6-1151P					RNU6-1151P
RNU6-144P					RNU6-144P
RNU6-526P					RNU6-526P
RNU6-546P					RNU6-546P
RNU6-938P					RNU6-938P
RNU6ATAC39P					RNU6ATAC39P
RNU7-182P					RNU7-182P
RPL23AP38					RPL23AP38
RPL23AP91					RPL23AP91
RPL35P9					RPL35P9
SETP16					SETP16
SIGLEC28P					SIGLEC28P
TARDBPP2					TARDBPP2
TRK-TTT4-1					TRK-TTT4-1
VDAC1P9					VDAC1P9
YWHAQP7					YWHAQP7
lnc-LEF1-1					lnc-LEF1-1
CSRP2P1					CSRP2P1
DNAJB12P1					DNAJB12P1
ENSG00000236710					ENSG00000236710
ENSG00000250575					ENSG00000250575
ENSG00000273069					ENSG00000273069
ENSG00000274425					ENSG00000274425
ENSG00000275162					ENSG00000275162
ENSG00000284987					ENSG00000284987
ENSG00000285040					ENSG00000285040
ENSG00000286974					ENSG00000286974
ENSG00000289526					ENSG00000289526
ENSG00000289699					ENSG00000289699
HNRNPA1P41					HNRNPA1P41
LOC105369945					LOC105369945
LOC124900752					LOC124900752
LOC124904333					LOC124904333
RCC2P8					RCC2P8
RN7SKP179					RN7SKP179
RN7SL824P					RN7SL824P
RNA5SP169					RNA5SP169
lnc-ATP1A1-1					lnc-ATP1A1-1
lnc-C1QTNF6-1					lnc-C1QTNF6-1
lnc-FCGR2B-2					lnc-FCGR2B-2
lnc-GCA-5					lnc-GCA-5
lnc-HLA-C-2					lnc-HLA-C-2
lnc-HSPA1B-1					lnc-HSPA1B-1
ACTG1P16					ACTG1P16
ADAM15-EFNA4					ADAM15-EFNA4
CM034952-323					CM034952-323
CM034956-112					CM034956-112
COX7CP3					COX7CP3
ENSG00000220643					ENSG00000220643
ENSG00000224163					ENSG00000224163
ENSG00000224988					ENSG00000224988
ENSG00000227766					ENSG00000227766
ENSG00000227775					ENSG00000227775
ENSG00000233902					ENSG00000233902
ENSG00000251411					ENSG00000251411
ENSG00000252438					ENSG00000252438
ENSG00000260082					ENSG00000260082
ENSG00000267370					ENSG00000267370
ENSG00000271369					ENSG00000271369
ENSG00000273112					ENSG00000273112
ENSG00000273493					ENSG00000273493
ENSG00000279500					ENSG00000279500
ENSG00000285552					ENSG00000285552
ENSG00000285616					ENSG00000285616
ENSG00000285837					ENSG00000285837
ENSG00000288520					ENSG00000288520
ENSG00000288924					ENSG00000288924
ENSG00000289607					ENSG00000289607
ENSG00000289637					ENSG00000289637
ENSG00000289829					ENSG00000289829
ENSG00000289930					ENSG00000289930
HSALNG0007924					HSALNG0007924
HSALNG0009695					HSALNG0009695
HSALNG0020226-195					HSALNG0020226-195
HSALNG0026788-001					HSALNG0026788-001
HSALNG0031915-004					HSALNG0031915-004
HSALNG0048676-001					HSALNG0048676-001
HSALNG0049336					HSALNG0049336
HSALNG0049754					HSALNG0049754
HSALNG0078886					HSALNG0078886
HSALNG0082195					HSALNG0082195
HSALNG0085295					HSALNG0085295
LOC105370092					LOC105370092
LOC124901069					LOC124901069
LOC124902436					LOC124902436
LOC124902693					LOC124902693
LOC124903470					LOC124903470
LOC124906252					LOC124906252
LOC124907867					LOC124907867
MANEALP1					MANEALP1
MK280607-185					MK280607-185
MK510719					MK510719
MN298114-175					MN298114-175
NONHSAG010528.2					NONHSAG010528.2
NONHSAG041574.2					NONHSAG041574.2
NONHSAG043472.2					NONHSAG043472.2
RF00017-5541					RF00017-5541
RF00017-6151					RF00017-6151
RNU5E-2P					RNU5E-2P
RPL22P23					RPL22P23
SNODB1016					SNODB1016
lnc-C10orf105-3					lnc-C10orf105-3
lnc-CCND2-1					lnc-CCND2-1
lnc-CD44-7					lnc-CD44-7
lnc-CHP2-1					lnc-CHP2-1
lnc-CHPT1-7					lnc-CHPT1-7
lnc-COL18A1-1					lnc-COL18A1-1
lnc-COL6A3-3					lnc-COL6A3-3
lnc-EPS15L1-2					lnc-EPS15L1-2
lnc-FAP-3					lnc-FAP-3
lnc-FCGR3A-2					lnc-FCGR3A-2
lnc-FCHSD2-1					lnc-FCHSD2-1
lnc-FYCO1-5					lnc-FYCO1-5
lnc-GPR137B-11					lnc-GPR137B-11
lnc-GPR78-1					lnc-GPR78-1
lnc-HMGA1-4					lnc-HMGA1-4
lnc-IKZF1-6					lnc-IKZF1-6
lnc-IL10-5					lnc-IL10-5
lnc-IL31RA-5					lnc-IL31RA-5
lnc-KCNJ5-2					lnc-KCNJ5-2
lnc-KCTD6-1					lnc-KCTD6-1
lnc-LMOD1-5					lnc-LMOD1-5
lnc-LYST-4					lnc-LYST-4
lnc-MECP2-2					lnc-MECP2-2
lnc-MRPL23-2					lnc-MRPL23-2
lnc-NCR3-1					lnc-NCR3-1
lnc-NID1-5					lnc-NID1-5
lnc-NT5DC1-1					lnc-NT5DC1-1
lnc-NYAP2-10					lnc-NYAP2-10
lnc-PRAG1-7					lnc-PRAG1-7
lnc-RTKN2-4					lnc-RTKN2-4
lnc-RTKN2-5					lnc-RTKN2-5
lnc-RTKN2-6					lnc-RTKN2-6
lnc-RTN4IP1-6					lnc-RTN4IP1-6
lnc-SCGN-3					lnc-SCGN-3
lnc-SOCS3-1					lnc-SOCS3-1
lnc-SOCS3-3					lnc-SOCS3-3
lnc-STK32B-1					lnc-STK32B-1
lnc-TEAD3-3					lnc-TEAD3-3
lnc-TMEM132D-5					lnc-TMEM132D-5
lnc-TSPYL1-1					lnc-TSPYL1-1
lnc-UCHL5-5					lnc-UCHL5-5
lnc-YPEL5-5					lnc-YPEL5-5
piR-30791-073					piR-30791-073
piR-34881					piR-34881
AB675034					AB675034
CICP18					CICP18
CM021575-016					CM021575-016
CM034951-462					CM034951-462
CM034951-483					CM034951-483
CM034951-484					CM034951-484
CM034952-180					CM034952-180
CM034952-191					CM034952-191
CM034952-218					CM034952-218
CM034952-219					CM034952-219
CM034953-141					CM034953-141
CM034954-096					CM034954-096
CM034954-159					CM034954-159
CM034954-161					CM034954-161
CM034954-297					CM034954-297
CM034955-277					CM034955-277
CM034956-113					CM034956-113
CM034956-204					CM034956-204
CM034957-077					CM034957-077
CM034957-220					CM034957-220
CM034959-028					CM034959-028
CM034960-188					CM034960-188
CM034961-009					CM034961-009
CM034961-023					CM034961-023
CM034962-307					CM034962-307
CM034965-071					CM034965-071
CM034965-317					CM034965-317
CM034967-187					CM034967-187
ENSG00000220412					ENSG00000220412
ENSG00000227836					ENSG00000227836
ENSG00000237363					ENSG00000237363
ENSG00000248401					ENSG00000248401
ENSG00000272982					ENSG00000272982
ENSG00000279005					ENSG00000279005
ENSG00000288956					ENSG00000288956
ENSG00000288975					ENSG00000288975
ENSG00000289732					ENSG00000289732
ENSG00000289768					ENSG00000289768
H2BP5					H2BP5
HSALNG0000131					HSALNG0000131
HSALNG0006021					HSALNG0006021
HSALNG0007839					HSALNG0007839
HSALNG0008739-001					HSALNG0008739-001
HSALNG0008739-002					HSALNG0008739-002
HSALNG0008968					HSALNG0008968
HSALNG0009694					HSALNG0009694
HSALNG0009697					HSALNG0009697
HSALNG0015541					HSALNG0015541
HSALNG0016005					HSALNG0016005
HSALNG0018586					HSALNG0018586
HSALNG0020226-377					HSALNG0020226-377
HSALNG0021696					HSALNG0021696
HSALNG0022922					HSALNG0022922
HSALNG0023605					HSALNG0023605
HSALNG0023609					HSALNG0023609
HSALNG0026419					HSALNG0026419
HSALNG0027627					HSALNG0027627
HSALNG0032393					HSALNG0032393
HSALNG0034003					HSALNG0034003
HSALNG0035680					HSALNG0035680
HSALNG0037887					HSALNG0037887
HSALNG0041318					HSALNG0041318
HSALNG0041319					HSALNG0041319
HSALNG0043768-001					HSALNG0043768-001
HSALNG0046196					HSALNG0046196
HSALNG0047875-001					HSALNG0047875-001
HSALNG0049109-001					HSALNG0049109-001
HSALNG0049290					HSALNG0049290
HSALNG0049291					HSALNG0049291
HSALNG0049332					HSALNG0049332
HSALNG0049333					HSALNG0049333
HSALNG0049335					HSALNG0049335
HSALNG0049418					HSALNG0049418
HSALNG0052454					HSALNG0052454
HSALNG0056610-002					HSALNG0056610-002
HSALNG0057935					HSALNG0057935
HSALNG0061260					HSALNG0061260
HSALNG0069758					HSALNG0069758
HSALNG0070353					HSALNG0070353
HSALNG0073248					HSALNG0073248
HSALNG0074773					HSALNG0074773
HSALNG0074775					HSALNG0074775
HSALNG0074919					HSALNG0074919
HSALNG0074921					HSALNG0074921
HSALNG0076056					HSALNG0076056
HSALNG0078328					HSALNG0078328
HSALNG0078722					HSALNG0078722
HSALNG0078887					HSALNG0078887
HSALNG0081997					HSALNG0081997
HSALNG0082198					HSALNG0082198
HSALNG0082370-228					HSALNG0082370-228
HSALNG0084946					HSALNG0084946
HSALNG0085296					HSALNG0085296
HSALNG0085314					HSALNG0085314
HSALNG0087579-001					HSALNG0087579-001
HSALNG0088098					HSALNG0088098
HSALNG0088099					HSALNG0088099
HSALNG0088101					HSALNG0088101
HSALNG0094323					HSALNG0094323
HSALNG0095062					HSALNG0095062
HSALNG0102088					HSALNG0102088
HSALNG0105964					HSALNG0105964
HSALNG0109573					HSALNG0109573
HSALNG0116270					HSALNG0116270
HSALNG0118747					HSALNG0118747
HSALNG0123131					HSALNG0123131
HSALNG0123133					HSALNG0123133
HSALNG0124432					HSALNG0124432
HSALNG0124433					HSALNG0124433
HSALNG0124504					HSALNG0124504
HSALNG0126983					HSALNG0126983
HSALNG0133110					HSALNG0133110
HSALNG0135287					HSALNG0135287
HSALNG0137188					HSALNG0137188
HSALNG0140809					HSALNG0140809
HSALNG0141638					HSALNG0141638
HSALNG0141665					HSALNG0141665
HSALNG0141850					HSALNG0141850
