Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
NCF4		PTPRZ1			NCF4
GATA4		NRP2			GATA4
DRD2		APOE			DRD2
VHL		SEMA3A			VHL
SST		PIWIL1			SST
SMARCA4		CNTN4			SMARCA4
TIMP1		JAK1			TIMP1
NKX2-5		PMS2			NKX2-5
TTN		STMN1			TTN
WT1		ARX			WT1
FGF8		PDE8B			FGF8
ATL1		PPP1R9A			ATL1
NKX2-1		NDRG2			NKX2-1
SH2D1A		KCNQ2			SH2D1A
KCNJ10		MEF2A			KCNJ10
PRKN		SLC9A3R1			PRKN
EZH2		TFAP2A			EZH2
NEFL		POFUT1			NEFL
SLC7A5		KLF10			SLC7A5
IFNG-AS1		PAX7			IFNG-AS1
SOD2-OT1		NDUFV2			SOD2-OT1
SNRPE		ATOH1			SNRPE
TNFSF10		AQP3			TNFSF10
IVL		HOXA3			IVL
MIRLET7B		NPTN			MIRLET7B
TF		HES5			TF
ERCC2		GPSM1			ERCC2
TERT		KIF2A			TERT
F8		TLE5			F8
SOD2		SLIT1			SOD2
CDKN2B-AS1		CNTNAP2			CDKN2B-AS1
NTRK2		ARNT2			NTRK2
SYNGAP1		CYP26A1			SYNGAP1
ZAP70		MARK4			ZAP70
IL6ST		GNA11			IL6ST
IL12A		PRPS1			IL12A
TNXB		PDGFC			TNXB
SMAD5-AS1		POU3F2			SMAD5-AS1
TRIM68		SLC7A3			TRIM68
FLNC		MYCBP2			FLNC
SNRPD3		RYK			SNRPD3
MIR25		CIT			MIR25
LINC-ROR		ERCC2			LINC-ROR
MICA		SLC7A8			MICA
LIG4		ALPL			LIG4
ITGAL		TP63			ITGAL
LBR		DOCK2			LBR
ERBB4		RECQL4			ERBB4
RYR1		PIP5K1A			RYR1
PARP1		ATP6V1B2			PARP1
ACHE		SOX5			ACHE
SOX2		VAPB			SOX2
GSN		PPP1R9B			GSN
MIR29A		TEAD4			MIR29A
BAX		GAP43			BAX
ITGB1		MAL			ITGB1
FLI1		P2RX5			FLI1
MOG		SIPA1			MOG
PVT1		HOXA11			PVT1
GHR		HOXA2			GHR
MTR		HOXD13			MTR
RAF1		ACTL6A			RAF1
MIR451A		NKX6-2			MIR451A
MIR20A		SIGMAR1			MIR20A
BMP2		BCL11B			BMP2
GHRL		CSPG5			GHRL
SLC7A7		PEX2			SLC7A7
MIR98		POU3F3			MIR98
PURA		OLIG2			PURA
IFIT1		HEXA			IFIT1
CYP21A2		WNT9A			CYP21A2
SERPINA1		TIMP3			SERPINA1
LAMC2		MAP1S			LAMC2
TYR		EIF2B2			TYR
CD34		DLX1			CD34
FLNB		ITGA8			FLNB
SRC		GRIP1			SRC
MIR7-3HG		NRCAM			MIR7-3HG
CNTF		SATB2			CNTF
IGF1R		TRAF7			IGF1R
CDK4		KDM7A			CDK4
FUS		PTPRR			FUS
AMT		CHRM3			AMT
HTR1A		ID3			HTR1A
MAPK3		GIP			MAPK3
GTF2I		NPR3			GTF2I
DBH		XRCC4			DBH
C3AR1		DYRK1A			C3AR1
TNPO3		PROP1			TNPO3
FADD		LMX1B			FADD
BCL6		MOG			BCL6
NOS1		ITSN1			NOS1
NAGLU		SLC4A11			NAGLU
SMAD2		PRDX1			SMAD2
HBB		HELLS			HBB
CYP17A1		MSX1			CYP17A1
EEA1		DLG4			EEA1
NPPB		ADAM15			NPPB
BTK		SH2B2			BTK
MAG		LHX6			MAG
ASPM		FOXG1			ASPM
