id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
JMJD7-PLA2G4B	-0.614878929809858	7.95971167031025	-4.61214539200772	2.52508694837932e-05	0.00203873751668759	2.41221723748232	down
LAMA5	-0.647212005836985	5.49406867254109	-5.73991908576212	4.56765066495495e-07	8.02523400509787e-05	6.21800384385767	down
CRIP2	-0.655644546204055	5.48209904228865	-3.53106240804322	0.000861144748811387	0.0280280688694502	-0.889457408886415	down
KLF13	-0.657432414993131	9.50791875286223	-7.69283234984975	3.2917847110905e-10	1.79748770408231e-07	13.1103095537987	down
PASK	-0.666543739528679	7.34499461230315	-3.68580861665073	0.000533572497514342	0.0204273603753185	-0.446201968665292	down
GNG7	-0.667269174463512	6.35438040146027	-5.21975811391471	2.99317555065106e-06	0.000378873212576536	4.43107764831829	down
OSBPL10	-0.673565775809603	5.31714005539331	-4.57481983576726	2.87030090701263e-05	0.00225601302350424	2.29130996521208	down
SH2D1B	-0.680088293760295	6.19249990070463	-4.28080258929081	7.76788733777832e-05	0.00476874740410947	1.35401364192483	down
FCMR	-0.689711349729729	9.59190041878902	-4.68913351303965	1.93636554323937e-05	0.00164670430418922	2.66286464373946	down
ID3	-0.704209388550192	6.7996194438523	-3.88194500044648	0.000286801342706007	0.0127981244325799	0.131284356383194	down
CXCR5	-0.708256645804609	5.49625998275484	-5.17129128864127	3.55829365268482e-06	0.000424336743064425	4.26696028881928	down
STMN3	-0.722987877771887	9.6929719233183	-5.58768372743313	7.95046419246344e-07	0.000130930263486997	5.69070887429493	down
PTGDS	-0.725008277365419	5.91071361911693	-4.56310750785766	2.98783446622617e-05	0.00229620611756271	2.25345508190851	down
EBF1	-0.7271844812586	4.81595350674713	-4.49806963050797	3.73113932242171e-05	0.00273572936184631	2.04399884637957	down
MEF2D	-0.729498338136837	7.50878884453575	-8.77036527552349	6.25176295752384e-12	9.26600581204427e-09	16.8737750055992	down
FAM129C	-0.76900600260756	5.66911387336632	-5.92564494723432	2.31444667345116e-07	4.53063853529355e-05	6.86519140846664	down
CD79A	-0.785088587278262	6.87461972855268	-5.08260532141565	4.87732063592354e-06	0.000553029525657998	3.96789212901198	down
BLK	-0.800355728341337	5.38621448568906	-5.15191443170967	3.81256582043667e-06	0.000452061375851777	4.20147840334501	down
GNLY	-0.826940008938911	8.85794287758323	-3.49012395421263	0.000975710097362962	0.0305645508685672	-1.00479469510389	down
CLIC3	-0.837565097353234	6.94230441206703	-4.27542242167581	7.90878491527453e-05	0.00481253041032101	1.33712762428884	down
LINC00926	-0.847887869319281	5.36349572490016	-5.47619095391375	1.19074539630075e-06	0.000184387813233139	5.30663267049433	down
HLA-DOB	-0.851451715284631	6.47239589152792	-4.88645221968308	9.74075377749636e-06	0.000967084406138992	3.31257197565442	down
CD72	-0.866869026935996	5.48162360379635	-5.28345302478589	2.38311149914449e-06	0.000314965373294574	4.64745277499754	down
RNY1	-0.887134842590719	6.74908155812384	-5.07183563404443	5.06716851366153e-06	0.000565288960529445	3.93168736067065	down
KLRF1	-0.890133403969164	6.966839561621	-4.34783686495316	6.20446439579685e-05	0.0040106740253204	1.56523727705101	down
FCER2	-0.893120440812064	5.56192627374078	-4.60995525960902	2.54417045898782e-05	0.00203982996879685	2.40511161408708	down
HLA-DQB1	-0.988462436256839	6.90776755071373	-3.50151458890851	0.000942454062784738	0.0299020211051733	-0.972786477929858	down
KLRB1	-1.04529816837413	10.2699809601359	-5.02518194592926	5.97708211735623e-06	0.000636022840693035	3.77514249109603	down
CD79B	-1.08202862453764	7.94652984468156	-6.16941599779744	9.43498975362688e-08	2.19973075716582e-05	7.71993324545738	down
CD19	-1.20064422820684	6.9258666288805	-5.41751997501583	1.47168921088043e-06	0.000222901833034809	5.10530251828072	down
VPREB3	-1.2866757053678	6.66351820722927	-4.70430247004163	1.83735933182142e-05	0.00158855025563727	2.71244522182213	down
FCRLA	-1.45618484656567	7.58169411896934	-5.76072910605362	4.23344479847358e-07	7.50803244173734e-05	6.29031857848747	down
RNA5S9	-1.49569188667508	8.98933600505005	-6.97737541756356	4.70582414048751e-09	1.68354915370889e-06	10.5772980284986	down
